"","COM_SECT","Posttown","Quotes","HH","QuotesPCT","expPCT","antiSoc_hh","bikeTheft_hh","burglary_hh","damageAndArson_hh","drugs_hh","other_hh","theft_hh","publicOrder_hh","robbery_hh","shoplifting_hh","theftPerson_hh","vehicleCrime_hh","violence_hh","weapons_hh","totalCrimes_hh","fire_hh","falseAlarm_hh","specialService_hh","totalFires_hh"
"58","EC4R 2","EC"," -   ",1,"","0.0001%",1,2,0,0,0,0,3,0,2,0,0,0,0,1,9,0,4,0,4
"59","EC4R 3","EC"," -   ",1,"","0.0001%",19,6,1,2,1,2,22,0,1,0,4,4,7,7,76,1,1,7,9
"60","EC4R 9","EC"," -   ",1,"","0.0001%",5,0,2,2,2,0,12,0,1,1,1,0,0,5,31,1,2,2,5
"61","EC4V 2","EC"," -   ",1,"","0.0001%",10,3,1,6,0,0,7,0,2,1,5,1,0,1,37,0,7,3,10
"62","EC4V 4","EC"," -   ",1,"","0.0001%",12,0,0,2,0,0,4,0,1,1,0,0,0,5,25,1,5,0,6
"63","EC4Y 0","EC"," -   ",1,"","0.0001%",32,7,4,1,1,1,18,0,2,0,0,3,4,9,82,1,9,3,13
"64","EC4Y 8","EC"," -   ",1,"","0.0001%",25,8,18,7,4,4,25,0,6,4,15,9,2,18,145,1,33,4,38
"65","N18 3","N"," -   ",1,"","0.0001%",313,1,42,51,13,11,456,2,33,11,119,24,273,102,1451,39,40,22,101
"66","SW1Y 6","SW"," -   ",1,"","0.0001%",245,30,26,27,17,2,201,1,30,21,165,86,49,90,990,16,198,11,225
"67","W1B 1","W"," -   ",1,"","0.0001%",39,15,11,5,6,2,29,2,11,17,0,55,17,35,244,6,73,11,90
"68","W1B 2","W"," -   ",1,"","0.0001%",1,4,15,9,10,2,59,2,27,17,292,76,9,55,578,7,23,4,34
"69","W1B 3","W"," -   ",1,"","0.0001%",137,9,14,13,6,2,198,2,31,39,57,301,3,60,872,9,29,10,48
"70","W1B 5","W"," -   ",1,"","0.0001%",134,14,47,22,23,10,493,1,66,57,278,401,33,176,1755,11,87,8,106
"71","W1C 1","W"," -   ",1,"","0.0001%",95,8,26,5,9,4,189,1,23,28,151,188,14,68,809,40,70,13,123
"72","W1D 2","W"," -   ",1,"","0.0001%",177,4,4,3,4,3,163,2,10,26,83,257,4,50,790,32,33,19,84
"73","W1D 4","W"," -   ",1,"","0.0001%",252,21,60,50,84,4,574,6,88,156,56,355,18,350,2074,11,60,12,83
